ДЗО ПАО Россети;филиал ДЗО ПАО Россети;Наименование ПС;Класс напряжения, кВ;Локация (Широта, Долгота);Основание применения;Архитектура построения ПС;Дата ввода в эксплуатацию;Стадия реализации;Основные технические решения;Производитель РЗА
"Россети ""Юг""";Калмэнерго;"ПС 110 кВ ""Джуракская""";110;47.657037, 45.763287;Строительство;II;2021;Введена в работу;"Осн. защита и КСЗ 
ЛЭП-110, РЗА 
силовых Т, РЗА ЛЭП-
35";"ООО НПП ""ЭКРА"""
"Россети ""Юг""";Калмэнерго;"ПС 110 кВ ""Нарн""";110;46.331032, 44.263358;Строительство;II;2021;Введена в работу;"Осн. защита и КСЗ 
ЛЭП-110, РЗА 
силовых Т, РЗА ЛЭП-
35";"ООО НПП ""Бреслер"""
"Россети ""Юг""";Ростовэнерго;"ПС 110 кВ ""Заря""";110;;Строительство;III;2021;Введена в работу;"Осн. защита и КСЗ 
ЛЭП-110, РЗА 
силовых Т, РЗА ЛЭП-
35";"ООО НПП ""ЭКРА"""
"Россети ""Юг""";Ростовэнерго;"ПС 110 кВ ""Полевая""";110;;Строительство;II;2021;Введена в работу;"Осн. защита и КСЗ 
ЛЭП-110, РЗА 
силовых Т, РЗА ЛЭП-
35";"ООО НПП ""ЭКРА"""
"Россети ""Тюмень""";"Сургутские 
электрические сети";"ПС 110 кВ  ""Олимпийская""";110;61.242632, 73.466784;Реконструкция;IV;2021;Введена в работу;"Шкаф серверный 
АСУТП/РЗА - 2 шт.; 
Шкаф 
телекоммуникационны
й - 2 шт.";"ООО ""ЛИСИС"""
"Россети ""Тюмень""";"Сургутские 
электрические сети";"ПС 110 кВ ""Батово""";110;60.406102, 69.846035;Реконструкция;III;2021;Введена в работу;;
"Россети ""Тюмень""";"Сургутские 
электрические сети";"ПС 110 кВ ""Чапровская""";110;60.412193, 69.654863;Реконструкция;III;2021;Введена в работу;;
"Россети ""Тюмень""";"Сургутские 
электрические сети";"ПС 110 кВ ""Роспан""";110;66.102965, 76.762385;Реконструкция;III;2021;Введена в работу;;
"Россети ""ФСК ЕЭС""";;"ПС 500 кВ ""Тобол""";500;58.286531, 68.448000;Строительство;III;2018;Введена в работу;;
"Россети ""ФСК ЕЭС""";;"ПС 500 кВ ""Сомкинская""";500;61.351192, 72.965366;Реконструкция;III;2022;ПНР;;
"Россети ""ФСК ЕЭС""";;"ПС 500 кВ ""Трачуковская""";500;61.287586, 75.230421;Реконструкция;III;2021;ПНР;;
"Россети ""ФСК ЕЭС""";;"ПС 220 кВ ""Надым""";220;65.310772, 73.045392;Реконструкция;III;2022;ПНР;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Востока""";"ПС 220 кВ ""Благовещенская""";220;50.337244, 127.541056;;II;;ПНР;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Волги""";"ПС 220 кВ ""Просвет""";220;52.989338, 50.532668;Реконструкция;;2022;ПНР;;
"Россети ""ФСК ЕЭС""";;"ПС 220 кВ ""Петровск ‐ Забайкальская""";220;;;;;;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Центра""";"ПС 220 кВ ""Луч""";220;55.921198, 36.824144;Реконструкция;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Центра""";"ПС 220 кВ ""Радищево""";220;56.226057, 36.963716;Реконструкция;;2020;Введена в работу;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Северо-Запада""";"ПС 220 кВ ""Новобрянская""";220;53.108350, 34.045258;Реконструкция;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Северо-Запада""";"ПС 220 кВ ""Найтоповичи""";220;52.775329, 32.713659;Реконструкция;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Сибири""";"ПС 220 кВ ""Ужур""";220;55.290178, 89.842916;;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Центра""";"ПС 330 кВ ""Сеймская""";330;51.728065, 36.454353;;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Центра""";"ПС 330 кВ ""Курская""";330;51.492384, 36.090229;;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Сибири""";"ПС 1150 кВ ""Итатская""";500;55.437700, 89.072954;;II;2021;Введена в работу;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Волги""";"ПС 220 кВ ""Мокша""";220;54.016842, 43.909518;;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Юга""";"ПС 220 кВ ""Зимовники""";220;47.171208, 42.470503;Реконструкция;;;ПИР;;
"Россети ""ФСК ЕЭС""";;"ПС 220 кВ ""Черноморская""";220;45.033056, 35.986111;Реконструкция;;;ПИР;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Юга""";"ПС 220 кВ ""Вешенская""";220;49.543897, 41.815917;Реконструкция;;;ПИР;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Юга""";"ПС 220 кВ ""Афипская""";220;44.888400, 38.845730;Реконструкция;;;ПИР;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Юга""";"ПС 330 кВ ""Благодарная""";330;45.088501, 43.412580;Реконструкция;;;ПИР;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Урала""";"ПС 220 кВ ""Барсово""";220;61.262534, 73.210809;Реконструкция;;2021;Введена в работу;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Центра""";"ПС 500 кВ ""Южная""";500;48.362808, 44.352450;Реконструкция;;2022;Введена в работу;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Волги""";"ПС 500 кВ ""Нижегородская""";500;56.087470, 43.910615;Реконструкция;;;ПСД;;
"Россети ""ФСК ЕЭС""";"Филиал ""МЭС Волги""";"ПС 500 кВ ""Луч""";500;56.394365, 43.701833;Реконструкция;;;ПСД;;
